title,reviewer,travel_root,text,flight_type,rating,travel_date,reviewed_Date,Legroom_rating,Seat comfort_rating,In-flight Entertainment,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and Beverage
Forcibly charging for a seat,Deepjyoti B,Dibrugarh - Bengaluru,"Airport team charged extra for the seats saying i have not booked the seats.
My questions is when i book a flight ticket technically am i not also booking a seat ?then why was i asked to pay extra for the seat.
When i asked for a free seat it was denied and in hurry were made to pay for the seat.

This is something against our will. No airlines charges extra unless it is a preferred seat.",Domestic,3.0,February 2025,12 February 2025,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0
Lovely Journey by Air India express,MOHAMMAD Arshad Ali,Mumbai - Kuwait City,"I had a travel with Air India express twice in month of January and February by IX266 and IX 265...
I had a good experience on board.  Crew was polite. I had a very smooth check in. 
.
THE WORST THING I DIDN'T LIKE ...that is my luggage handling by your team.  When I arrived in Kuwait.    Once I got my luggage.  I have seen.  There is 1 wheels are missing..and handle are damage... because of this. I suffer.

But it's fine .  
I would like to request to your team to if they can do it better. So the customer will be Soo happy..

I had enjoyed my journey.. from check.in to onboard to arrive....

Thank you Air India express for such a wonderful experience..
I will always travel with this air line ...one of my very comfortable Air line ..

Thanks to captain to crew.  To ground staff .
They all are amazing 😍. 
All the best..",International,5.0,February 2025,12 February 2025,4.0,5.0,N/A,5.0,5.0,5.0,5.0,5.0
Scam Flight,Karan T,Dubai - Amritsar,"Horrible experience with weights at the counter they let go 1kg of my brother but when they found out we are together they tried charging us X3 extra for duty free products. The guys name was Syed,  Its a total scam when your boarding.",International,1.0,February 2025,10 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The extreme worst does exist,Jawad A,Kannur - Kuwait City,The worst service in the Airport. The people would be much happier if they shut down. The way they treat people is so bad that it only exists with this people. Even the worst of the worst is better in comparison. Cant want for these bigots to be treated the way they treat people. Would never recommend anyone to use this bad airlines. Better walk to ur destination than to use this service. Thuuh. On the face of these staffs in the airport,International,1.0,November 2024,9 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Terrible,Francisco A,Mumbai - London,Very bad service condition of the flight is bad we got broken seat no tv screen is working this will be my last n final with AIR INDIA flights I suggest pay little bit more money n choose other flights,International,2.0,February 2025,8 February 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Air India Unexpress,Pioneer02301243526,Mangalore - New Delhi,"As an international traveler, I’ve just concluded a month in India, and I must say, I've never experienced such a disastrous episode in my air travel history. @AirIndiaX, your staff at IXE Airport—specifically Ibrahim Khalil and Anupama V—displayed an utter lack of professionalism and training. I was subjected to unnecessary harassment over a few extra kilos, all while being treated with an unmistakable lack of courtesy. This level of unprofessionalism is unacceptable and not what any traveler should ever endure. I expect a higher standard from an airline of your stature.",Domestic,1.0,January 2025,8 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Good,Arshima A,Kozhikode - Muscat Governorate,"The recent experience with Airindia cabin crew was extraordinary, specially Ms.priyanka guptha her way of communication, gesture caring, explanation everything was superb.travelling alone with my 5month old baby was tough for me.thanks to Ms.priyanka for making my fly comfortable.",International,4.0,February 2025,7 February 2025,N/A,5.0,4.0,5.0,3.0,4.0,3.0,4.0
Worst airline,Bike R,Kozhikode - Dubai,Worst flight in the world. Changing tbeir policy day by day. Staffs are so errogant. They making india name bad by putting air ondia express. Change name to something else,International,1.0,January 2025,7 February 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bad experience,Tourist48021891846,Agartala - Singapore,"It my second time to travel with air india express and  if the flight was miss e.g from Chennai, Guwahati and dehli. You miss in Chennai you came in Guwahati to same flight but staff will say it if miss the flight mean u have to book a new ticket",Southeast Asia,1.0,February 2025,7 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Never to fly Air India Express,Sharad S,Pune - Lucknow,On the 1Feb and today 7Feb on both days this rotten airline would announce delays in 2 hour increments. My Spouse travelled by the same flight ETD 17.40 and every hour they would announce an hour delay for operational reasons Aircraft are not Ambassador cars that keep breaking down. So the. airline know the extent of delay but the keep the information from customers and needlessly inconvenience them.. WE HAVE PROMISED OURSELVES THAT WE SHALL NOT TRAVEL BY AIR INDIA EXPRESS EVER. The mot rotten Airline,Domestic,1.0,February 2025,7 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Worst airline in india,Mridula S,Goa - New Delhi,"Worst airline from india , never travel and do booking of this airline

We suppose to fly from air india express last night but due to an emergency we couldnt fly and tried to call them ahead of their 2 hours reschedule time frame but no answer and couldnt do so.

After multiple attempts finally one of there crew answered and rather than assisting us, he kept threatening to disconnect the call and finally hanged up saying its not his problem

Now we know why indigo is a better option for travellers within india and not ever book air india , air india express or any of their alliance 

#boycott airindia express",Domestic,1.0,February 2025,6 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scam airlines beware,Shibajyoti D,Kolkata (Calcutta) - Agartala,"Terrible service, they weigh both carry on and personal item and charge exorbitant amount of money for extra weight. I have travelled all around the world and no airlines weigh both carry on and personal item. The ground staff are extremely unprofessional.",Domestic,1.0,February 2025,5 February 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Air India Express shenanigans,Mr. Napi3r,New Delhi - Guwahati,"Boarded a flight from New Delhi to Guwahati but our entire luggage was missing on arrival. The ground staff was absolutely uncooperative and aloof. They had the audacity to shrug off all responsibility and instead made us feel that we were the ones being unreasonable.
On top of all that, the cabin crew arrived almost 45 minutes AFTER the final boarding of all the passengers!
Neither the cabin crew nor the ground staff were cordial or helpful. Needless to say it’s going to take me a thousand considerations before I book another flight with Air India Express!",Domestic,2.0,January 2025,5 February 2025,3.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0
