title,reviewer,travel_root,text,flight_type,rating,travel_date,reviewed_Date,Legroom_rating,Seat comfort_rating,In-flight Entertainment,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and Beverage
The worst airline I've ever tried,Travel22311322349,London - Mumbai,"Literally the worst flight I have ever taken. I take a lot of flights, more than 50 in some years, but have always avoided Air India by reputation. However, 3 years into their merger I thought I should try them as I used to like Vistara. What a mistake...

Booked my seat, 42C a month ago, as I need to have an aisle because I get quite claustrophobic. Confirmed 42c at online check in. At the airport was given a middle seat and told to get it changed onboard. Onboard they said there was nothing they could do. Customer services could not have been more unhelpful.

Flight: in fight entertainment was but e working for about half the seats near me. No problem, I'll read my book, except that my light wasn't working, so that wasn't possible when they dimmed the lights.

Asked for a gin and tonic at the pre dinner drinks service...apparently no gin on this flight! Was then served a truly insipid meal (never had a chocolate mousse that was watery in both consistency and taste before!)

Cabin staff poorly trained: shouted orders at passengers with regard to seat backs, seatbelts, tray tables etc. 

Wouldn't fly with them again if they paid me.",International,1.0,February 2025,12 February 2025,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
Worst Flight Experience Ever I request people to take train instead of Air India Flight,Sherpa16987411208,Indore - New Delhi,"Air India, it's time for consistency. The rules for hand luggage shouldn't depend on who you are. Every passenger deserves the same treatment. Stop the double standards and enforce clear, fair guidelines for everyone. Customer service 0",Domestic,1.0,February 2025,11 February 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Air India - worst,Trip09178911979,Mumbai - New York City,"Air India is an absolute disaster! I had a terrible experience with their old, filthy planes before, so this time, I went out of my way to book from JFK instead of EWR, paying extra for what was supposed to be a new aircraft. On top of that, I had to cover additional taxi costs just to ensure a better flight. But guess what? As soon as I boarded, I was shocked to find yet another ancient, worn-out plane—without any prior notice or warning!

The disappointment doesn’t stop there. The plane is disgustingly dirty—hair on the pillows, mosquitoes flying around, and an overall unhygienic environment. And to make things worse, I got bitten by mosquitoes inside the plane! How is this even acceptable on an international flight?

Air India’s false promises, poor maintenance, and lack of basic cleanliness make it one of the worst airlines out there. Paying a premium for a supposedly new plane, only to end up in this nightmare, is beyond frustrating. Never flying with them again, and I strongly advise others to stay away!",International,1.0,January 2025,11 February 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Worst,devika v,Mumbai - Jamnagar,"This is worse flight we had experienced 
Writing on behalf of my elderly father and disabled brother 
Flight from Mumbai to Jamnagar on 3rd of February 
My brother is mentally and physically disabled 
My dad and brother was flying from Mozambique to Jamnagar for their treatment 
From Mozambique they had Ethiopian airline 
To Mumbai
After 24 hours of journey from Mozambique to mumbai they had air india flight from mumbai to Jamnagar 
My brother is mentally disabled and when he entered to flight he took few guides which was on passengers seat which he also did at Ethiopia airlines which was beautifully handled while air india didnt allow them to fly 
My dad tried to explain that end of flight which was just 45mins duration wen they land he will give it back
But crew members were very rude and didn’t allow them to fly
He had to travel by taxi 19 hours of road trip in total 3 days of trip 
This was ridiculous behaviour and airline like this one should be banned 
Disabled passengers are also passengers and humans
Air india you have shown inhumanity 
U have shown inequality 
This could have been handled well like Ethiopian airline where they made my dad and brother feel so comfortable and equal 
Shame that we been indian i have to say Indian airlines are ridiculous",Domestic,1.0,February 2025,11 February 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MAHARAJA is back,Pallav G,New Delhi - Chhatrapati Sambhaji Nagar,Boy what a change !!! simply amazing... they are a changed airlines now . the snacks ( as it was an early morning flight) was good ... the flight attendants are courteous .. Seems our MAHARAJA is back,Domestic,5.0,November 2024,11 February 2025,3.0,4.0,1.0,5.0,4.0,4.0,5.0,5.0
Worst airline ever,John Brim,New Delhi - Amsterdam,24 hours delay and we were treated like cattle. Staff even started laughing at us at one point. Never ever ever flying airindia again.,International,1.0,December 2024,11 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PATHETIC!,Excursion18935987504,San Francisco - New Delhi,I booked the flight in December and contacted customer service to assign the seat with a bassinet as I am traveling with an infant. I was advised to contact 48 hours before departure to make this request. I called them again 5 days before and found out that other passengers already reserved the bassinet seats and they couldn't do anything. I requested their supervisor and called them 7 times but still have been unable to talk to a supervisor to get an alternate solution. PATHETIC!,International,1.0,February 2025,10 February 2025,1.0,1.0,1.0,1.0,1.0,1.0,N/A,1.0
I booked ticket during April 24. I was denied boarding due to flight over booking. I was sent back from air port,Sunil G,Riyadh - Mumbai,I was denied boarding.  Air India team took more than 10 months to say they are unable to pay the compensation. Terrible service. I wrote minimum 100 emails. No resolution. Pathetic service. I will prefer not to travel by this airline.,International,1.0,April 2024,10 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Never take this flight you will be in lose,Escape17237340783,Singapore - New Delhi,1 of the worst flight. Never take this flight again I have paid 700$ afterthat they are not providing me return flight. Just because of them this happened they Never send full details about terminals i gone wrong and I have reached their 9.58 pm and they say counter close afterthat they no allow me to go inside and they say for morning flight re issue but in morning they say cannot re issue and they book another flight and say you can get refund of 1 side and return one can use. Now they are saying can not use I am in soo lose I have spent 700$ and still have to take another return flight even they are not giving refund. Staff also not listen anything they are so rude just ignore us I was standing there for asking and they was just using phone go another side ignore.  I recommend to everyone not to take this,Asia,1.0,February 2025,10 February 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Worst experience never recommended,Guide57202425943,Pune - New Delhi,"One of the worst experiences I’ve ever had, traveling on AI 852 from Pune to Delhi on February 10, 2025. I carried a small bag to avoid checking it in, as I had important meetings ahead. However, counter operator Ms. Prachi Tiwari was incredibly rude and dismissive. She didn’t even listen to my reasonable concerns and simply insisted I check in my bag without offering any explanation. What’s even more ridiculous is that there were other passengers with larger bags who were never questioned. It seems like AI has a special focus on making life difficult for certain passengers, and this treatment just highlights why they’re so unpopular. Pathetic service and zero customer care.",Domestic,1.0,February 2025,9 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
