title,reviewer,travel_root,text,flight_type,rating,travel_date,reviewed_Date,Legroom_rating,Seat comfort_rating,In-flight Entertainment,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and Beverage
Very costly for the service provided and seat are not comfortable at all.,Keivyel19,Kuala Lumpur - Varanasi,"The seat are hard and very slow service, and the price are same as air india.
Which air india is much better than indigo.
Not comfortable at all, and the price is expensive compare other airline",Asia,1.0,December 2024,12 February 2025,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0
Mumbai to Darbhanga journey with iconic Indigo,MOHAMMAD Arshad Ali,Mumbai - Darbhanga,"The journey was amazing...but because of weather flight was little delay..
But I like the smooth check in. And update about everything..I feel like such a genuine service is providing by Indigo.. Thank you indigo and team.",Domestic,5.0,January 2025,12 February 2025,N/A,4.0,N/A,5.0,5.0,5.0,5.0,5.0
Service and Refund policy not good when Flight cancel,Compass01881869995,Ahmedabad - Chandigarh,"1-Flight Cancel but no prior information on phone message. when airport reached then found out flight cancel. Flight Cancel Message received only on Email at 5:58PM.
2- After that flight ticket rebook by indigo team on next day only from Ahmedabad to Delhi but my my destination was Ahmedabad to Chandigarh.
3-Due to flight cancel return to hotel through cab but my extra expenses amount not reimbursement by indigo.
4-At Airport indigo team says 50% amount will refund but customer care says only 23% amount will refund excluding GST amount.
5-After 12days complete refund amount not received in my account. Pl. change your refund policy so that amount received timely.",Domestic,3.0,February 2025,12 February 2025,4.0,3.0,1.0,3.0,1.0,4.0,3.0,3.0
no frills airlines,Pallav G,New Delhi - Kolkata (Calcutta),just another Indigo flight with no frills and fancy ... at least put some cushions in your seat .. the flight would be comfortable,Domestic,1.0,September 2024,11 February 2025,2.0,1.0,1.0,3.0,5.0,3.0,5.0,1.0
Worst international flight experience I ever had,prajakta p,Mumbai - Istanbul,"Want to give 2 stars only for the good pilots. We experienced some turbulence and bad weather but the pilots handled it well.

Negatives: 
Very rude cabin crew. 

It was a 7 hours long international flight and indigo only offered one breakfast meal ( which was burnt for my husband and undercooked for me) and ONE drink throughout. 

In-flight entertainment system wasn't working. Didn't even had the flight info on it. 

I would suggest Indigo to mention about the meal, drink and entertainment system conditions to the passengers on their website/booking platforms. As I wouldn't have gone for Indigo if I knew this ( I had booked myself with Turkish airlines and only one of my 4 flights was Indigo). 

I will never fly Indigo for long hauls atleast in future.",International,1.0,February 2025,10 February 2025,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0
Thumbs up Indigo,Praveenkumar P,Chennai (Madras) - Sydney,"I consistently prefer airlines that allow me to complete immigration and customs procedures in Chennai, India, ensuring my luggage is checked through to my final destination. Consequently, I avoid Air India, which necessitates customs clearance in Delhi or Mumbai. Since 2004, my only options have been foreign airlines. Recently, I booked an international ticket with Indigo for my journey from India to Australia for the first time. Indigo offered a route from Chennai to Singapore on flight 6E 1025, followed by a connection to Sydney with its partner Qantas on flight 6E 4674 (operated by Finnair). I was thoroughly impressed with both Indigo and Qantas. Indigo, as the marketing partner, facilitated a seamless check-in process at Chennai airport, where my luggage was checked through to Sydney, and I received both boarding passes at that time. The Indigo flight 6E 1025 was a new A320, just 0.3 years old, with attentive crew members and a thoughtful food pack. Both departure and arrival were punctual. The Qantas flight, operated by Finnair, also departed on time, providing good service. Overall, the experience was excellent and offered great value for money, earning my commendation for Indigo.",International,5.0,February 2025,9 February 2025,5.0,5.0,N/A,5.0,5.0,5.0,5.0,5.0
Generally good.,Tamil A,Chennai (Madras) - Chhatrapati Sambhaji Nagar,"Budget airline. Punctual in take off. Arrival earlier than scheduled time!!

Airline staff managing the security xray scanning the luggage were clueless and suspicious of everything and testing our patience.",Domestic,5.0,January 2025,9 February 2025,4.0,4.0,1.0,3.0,3.0,3.0,5.0,N/A
Nice One !!,BalkrishnaShroff,Jaisalmer - Mumbai,"Once again we had a very nice experience flying with IndiGo. Right from check-in to boarding, everything went off well. On board service was excellent. The food served was good. The flight landed in Mumbai on schedule.
Worth flying...",Domestic,5.0,January 2025,8 February 2025,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0
Stay away if you're considering. When it goes wrong it goes very wrong,Saffron,Mumbai - Manchester,"If you are reading this wondering whether to use it please don't. The staff don't care. This was a Turkish airlines sub contracted to Indigo. Check in was closed extra early and we were sent to a queue. One person serving the same 3-4 people for 1 hour. Appalling, low staffed. people pushing into this queue and getting served first.
They didn't want to help as we used a third party platform. Flight missed with much time to go because staff didn't want to push ground staff to get luggage to get there and do customer service and use discretion. I was surrounded by people. It was chaotic. Even when the first Indigo flight failed, people were charged for connecting flights. Major lesson learned. Will not use either Turkish Airlines or Indigo again. The middle east flights make a massive effort to help and proper staffing levels. I was totally abandoned and told to phone the booking platform who told me Indigo are not answering. Their Ts and Cs are so comprehensive it will not allow you any refund even when they are at fault. $400 spent ona new flight. Terrible morning and six hours here.

Many people missed domestic flights too. The chaos was absolute because they don't show discretion. Computer says no mentality",International,1.0,February 2025,7 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Unethical, deliberately delays passenger check ins",Meander786486,Bengaluru - Goa,"I booked a flight with indigo yesterday to Goa.  I reached airport 1 hour 15 minutes before flight time. The ground staff of indigo is highly confused and they sent us from one queue to other and back to the other queue saying the other queue moves faster ! And in the queue which we got in, the check in per person took an average of 10+ minutes. When we reached to the desk, the Indigo person told us that the boarding for the flight has started so he cannot accept the bags ! There was still 45 minutes to the flight time. Even though the delay happened only because of their pathetic queue management they did not make any effort to let us or any more fellow passengers check in. It turned out that a huge number of people were not able to board flight with similar reasons. All of the passengers had to take other indigo flights at odd timings to reach their destinations at extra prices. For a 1 hours trip, we were offered a flight with 7 hours duration including a layover at Hyderabad at night time, killing the sleep of the day. Considering to other Indigo passengers who missed the flight we were lucky. There were people to whom they asked 45000 for a flight ticket, even though those people missed the flight even after coming to airport on time.
May be this is a tactic to get passengers for their less used flights and their normal flights may be overbooked these days. But these cheap and unethical practices won’t serve in the long run.
High time for someone from Indigo leadership too take an action !!",Domestic,1.0,January 2025,7 February 2025,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
