title,reviewer,travel_root,text,flight_type,rating,travel_date,reviewed_Date,Legroom_rating,Seat comfort_rating,In-flight Entertainment,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and Beverage
Experience,Voyage07473926215,Jaipur - Pune,"Great experience on the flight good staff, well behaved and helpful. Really like the service. Would recommend to others.",Domestic,4.0,February 2025,13 February 2025,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
SpiceJet has come back,Rajendra Joshi,Ahmedabad - New Delhi,Good food and nice inflight experience . Crew served hot food and it was fresh too. Very nice check in experience at Ahmedabad airport,Domestic,5.0,February 2025,12 February 2025,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Satisfaction during travel with Spicejet flight,Sightsee03413680355,Shirdi - Chennai (Madras),"I traveled from Shirdi to Chennai by your airline. The reason for traveling was that my father had a major heart attack while he was in Tirupati.
I am really thankful to all your staff and especially to your staff Chaitanya Chandrakant Avhad (SR .SEC.EXE/128046) for helping me in every way considering the importance of time while he himself was on leave.
It is truly admirable that you have such a staff. 
As such, the behavior of spicejet staff on arrival at Shirdi airport is always commendable.
Thanks again.
I would definitely like to travel with Spicejet next time.",Domestic,5.0,February 2025,11 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
excellent,GrandTour30821762044,Jaipur - Pune,excellent service keep it up good staff in flight and at counters good flight up keepment and good hospitality in the flight,Domestic,5.0,February 2025,11 February 2025,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0
Do NOT do it - Book with anyione else,Claire E,Port Blair - Chennai (Madras),"Cancelled flight, did not send text message.Made no effort to ensure passengers were informed ahead of time.  Lost my connecting flight ti NZ 2.5 lakh. Disgusting service. Will never fly with them again.",Domestic,1.0,February 2025,11 February 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Avoid at all cost!!!,Nomad21337874650,Ahmedabad - Varanasi,"An absolutely cheap plane. The leather covers is are worn off, the belts all require extension for the aunties with extra large assets. There are posters like mini billboards that make it utterly cheap. The fares are expensive and they only get filled when they other airlines are full. They track you cookies and price gauge you, if you’re really desperate to fly this airline than use a vpn. Air hostess but her stupid kit on my seat tray to do her bit. Utter mistake but I learned to never travel this stink whole.",Domestic,1.0,February 2025,10 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Spicejet worst airline,",Mahender B,New Delhi - Rajkot,"Worst airline ever,
They don't refund money back,
India's worst airline, don't book tickets with spice jet, i don't recommend,",Domestic,1.0,February 2025,10 February 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Very professional in flight Crew,Traveler31452604817,New Delhi - Pune,Appreciate the hard working and customers centric in flight crew. Thanks for their caring and wonderful service by all the members.,Domestic,5.0,February 2025,10 February 2025,5.0,5.0,N/A,5.0,5.0,5.0,5.0,5.0
Delightful Experience with SG at Prayagraj,SubhashDey,Prayagraj - Mumbai,"My Prayagraj - Delhi - Mumbai connecting flight got rescheduled. So, whn I called SG Customer Care, the call was kept waiting for 22 mins but as soon as the Representattive came on line she addressed my problem and arranged a direct flight from Prayagraj to Mumbai in the same day.",Domestic,4.0,February 2025,9 February 2025,5.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0
Worst,OnAir42015181658,New Delhi - Dubai,This airline is the worst I would never choose this airline ever honestly this was the first and last time I booked a round trip with SpiceJet while going my flight got delayed by 7Hrs and this message was on the spot also they did not provide anything rather than the food while coming back flight got delayed by 16hrs Nd no accommodation was there STAY AWAY!!! Every flight gets delayed,International,2.0,February 2025,8 February 2025,1.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0
Amazing flight experience with spicejet,Freedom63022665680,Madurai - Dubai,Amazing flight experience with spicejet. This was my daughter first flight experience and crew members made it very special for us.,International,5.0,February 2025,8 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
:),J N,Prayagraj - New Delhi,"Flight number SG762 
All the Cabin crew were very helpful and kind. One of the cabin crew helped me taking my luggage out of the way which was kept far from my seat.",Domestic,5.0,February 2025,8 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Excellent work Spice,Compass22946239632,Patna - Ahmedabad,Superb flight very courteous staff and hygienic flight with before time arrival ....keep it up with same rigour and intensity,Domestic,5.0,February 2025,6 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Good Service,Trail38042642308,Mumbai - Prayagraj,"Nice Trip, polite behaviour of the staff the staff was also very good. The flight was On time and there was less turbulence.",Domestic,5.0,February 2025,4 February 2025,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0
Don't book with SpiceJet; they cancel tickets.,OnAir06251262291,Mumbai - Bagdogra,"Avoid booking with SpiceJet if you want a hassle-free travel experience. Many passengers have reported frequent ticket cancellations, often at the last minute, causing unnecessary stress and inconvenience. Their refund process can be slow and frustrating, leaving travelers stranded without proper compensation. Customer service is often unresponsive, making it difficult to resolve issues efficiently. While their fares may seem attractive, the risk of sudden cancellations outweighs the benefits. If you need a reliable airline, consider other options with a better track record for honoring bookings. Save yourself the trouble and choose an airline that prioritizes customer satisfaction.",Domestic,1.0,January 2025,4 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Good Service,Voyager68095730661,New Delhi - Mumbai,Great service by Air hostesses.beatiful smile and service served by service crew specially air hostess dresscode is good,Domestic,4.0,January 2025,4 February 2025,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0
Very convenient flight and good service,Lakshmi raman,Jaipur - Varanasi,"Ground and inflight service was good. Staff very cooperative, the Cabin Crew Ms. Sherpa was exceptionally efficient, polite, pleasant and humble.  She sold me the spice max front seat☺️",Domestic,4.0,February 2025,4 February 2025,5.0,5.0,N/A,5.0,4.0,4.0,5.0,4.0
Family holidays,Manish P,Mumbai - New Delhi,"Very good ground staff at mumbai airport, my mother who is wheelchair user was looked after all the way from checkin to flight boarding.",Domestic,5.0,February 2025,3 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
