title,reviewer,travel_root,text,flight_type,rating,travel_date,reviewed_Date,Legroom_rating,Seat comfort_rating,In-flight Entertainment,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and Beverage
Never trust airline’s promises because you’re an Economy passenger!,Neeraj S,New Delhi - Mumbai,"(UK955/08Nov25/PNR : NLAYRX / seat 14B)
Left an item of personal importance in front seat pouch but did not succeed in getting back my thing; despite options after options of having to place  my request with ground crew, at terminal staff and tele-customer care.  
Learnt a lesson to not trust what seems like a simple request for support, will be followed through once one has disembarked the plane.",Domestic,1.0,November 2024,14 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
What a fantastic flight!,Tapani U,Chennai (Madras) - New Delhi,"Simply fantastic: on time performance, superb crews, a very tasty hot meal by Taj Sats plus the flight (AI2836) landed ahead of schedule at DEL on Thursday 09 January 2025 despite the challenging weather conditions in New Delhi during Dec-Jan in general. Bags on the belt as soon as we reached the baggage hall at DEL T3. What else can you possibly ask?

European airlines could learn a few lessons from these two airlines from India - Air India and Vistara: in Europe you maybe get some water on a 3-hour flight plus pay for everything else; in India you seem to get full service with a smile everywhere. Keep up the fantastic work!",Domestic,5.0,January 2025,10 January 2025,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0
I never travel in this airline,Tour10949987829,Mumbai - New Delhi,D grade flight .. bcz 1 hour late in Mumbai airport discusting. My last journey in Vistara  totally waste ur money journey in this flight ...,Domestic,1.0,January 2025,6 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
My last Vistara flight before its merger with Air India,Nazyd A,Male - Mumbai,"It was bittersweet to be on the last Vistara flight before its merger with Air India in November. As always, Vistara delivered an outstanding experience, reaffirming why it has always been my favourite airline in India. The impeccable service, delicious food, and attention to detail made the journey memorable. I’ll miss flying with Vistara, but I hope its legacy continues to shine.",Asia,5.0,October 2024,17 December 2024,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0
"Possibly the best Indian airline I've flown to date, shame its now merged with Air India",akghosal,Kolkata (Calcutta) - New Delhi,"I flew on Vistara on October 2024 when my morning Air India flight from Kolkata to Delhi (when travelling back to London Heathrow on Air India) got cancelled due to a bird strike and so my flight got rebooked in the evening on Vistara before then taking my Air India flight to Heathrow from Delhi. And I can say that the service on board was mostly excellent and definitely the service all airlines in India should be providing to passengers. The flight was on time without any delay, the food was quite tasty and well prepared, the seats were quite comfortable, the interior looked relatively modern and well maintained, including the toilets, staff were mostly polite, helpful & friendly, and I really loved the airline Wi-Fi, which allows you to use the airline's entertainment, flight map and even some other services such as flight feedback (something which domestic airlines around the world, and even domestic Indian airlines, need to take note and learn from). 

My only minor issues with Vistara were that while the food was very good, the non vegetarian food ran out by the time the food reached my brother (who had to get a vegetarian dish) and while the seats were comfortable, at least for the short flight, the legroom still seemed a bit tight. But apart from that, I had a great time with Vistara and its a shame in my opinion that its now merged with Air India and no longer an independent airline. All I can say is that other Indian airlines should learn from Vistara and upgrade their levels of service so that it matches (or even exceeds) Vistara's and I also think that all airlines worldwide whether domestic or international should have a Wi-Fi system operated by the airline, especially the entertainment & flight map systems for domestic flights.",Domestic,4.0,October 2024,12 December 2024,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0
Overall Observation & Services,Cassius M,New Delhi - Mumbai,I'm Cassius .. would like mentioning Minakshi Thakur... Flight stewardess...has A very Heartwarming and Peoples Smile...she was calm during busy schedule... professional n Would like you'll to have Good People like her in your many years to come.. Please compliment This Young lady...We will be Greatful...date of travel 1st dec..night...,Domestic,5.0,December 2024,4 December 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Poor service,Companion62488756153,Abu Dhabi - Kolkata (Calcutta),"Small leg room, no inflight entertainment apart from that garbage vistara world. Air hostess with attitude . Flight departed late and since I had a quick connection through mumbai had to rush all the way. Better to fly with proper air india flights ( 3 digit flight numbers). Disappointing experience.",International,4.0,November 2024,24 November 2024,1.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0
Pathetic customer service,Jinku D,New Delhi - Dubai,Was flying with my 6 month old from Delhi to Dubai. First of all they couldn’t arrange our boarding passes and made us wait for more than one hour. Whoever comes to the counter would call someone else and vanish. Inside the flight we were waiting for someone to come and collect the food trays from us. Even though we tried calling them they didn’t bother to come and collect them and I was left with no space with the kid on my lap. Again before landing they never showed up to check on the passengers because of which the passengers in the row before us  were in the reclining position for the whole landing time!! Again I was struggling with my baby to get some space. Was literally praying that the flight lands soon !!!! Would never recommend or book with this airline again. Pathetic customer service,International,3.0,October 2024,22 November 2024,1.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0
"A good experience on Vistara our international trip from Mumbai to Male Velana, Maldives",Global40090705281,Mumbai - Male,"Our experience on Vistara was good. The staff were friendly, the plane was clean, the seats were comfortable and clean and there was good legroom. However the food was just ok.",Asia,3.0,May 2024,15 November 2024,4.0,4.0,1.0,4.0,3.0,5.0,5.0,3.0
Lazy airhostesses,trishna b,New Delhi - Kathmandu,"Had bought some stuff from duty free but even with enough space, they asked to put all the bags under the chair even the bottles and it was very uncomfortable. I think the laziness of the air hostesses was visibly clear and very annoying. Very bad customer service.",Asia,2.0,November 2024,10 November 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Seat change at last moment. So I will never recommend,Road53064084465,New Delhi - Mumbai,Seat was getting changed at time of checkin at counter. That was not expected. Actually I have selected window seat. But middle seat was getting assigned,Domestic,4.0,November 2024,10 November 2024,4.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0
"Ok,Excellent",Nomad00125389268,Pune - New Delhi,Delayed but excellent experience but I was travelling with 3 people including me and I could not find a single 3 row seat.,Domestic,4.0,April 2024,9 November 2024,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Best Customer sevice!,Abhilasha,Bengaluru - Mumbai,Best customer service. Ive travelled many a times with airline and always exceeds my expectations. I travelled with my grand parents once and staff was there to help all the times.,Domestic,5.0,October 2024,4 November 2024,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0
Uncooperative Staff and hopeless people,Snehal S,New Delhi - Leh,"Very uncooperative and hopeless staff of VISTARA , they don’t understand what are trying to communicate. 
Any passenger if travelling with family having senior citizen and kids don’t book this flight prefer other flights",Domestic,1.0,November 2024,3 November 2024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
So much better than Air India….,PeteD60,Goa - Bengaluru,"Flight at end of trip from GOI to BLR - had booked premium economy class seats but decided a couple of days beforehand to upgrade to business class – an indulgence but worth it.

No dedicated security line or lounge at GOI – not a problem - we sat close to the gate - boarded first - 8 seats in business class - only 3 of us - loaded efficiently - push back on time – offered orange juice and very small bottle of water - food order taken pre-take-off - A320 – 1A+C- no alcohol - Vistara world for inflight entertainment on offer

Despite only being a 50 minute there was a hot food service - ok as a hot snack with an included overly sweet dessert

This was a proper business class experience with large comfy seats with loads of legroom with dedicated cabin staff – with a separate premium economy section behind 

Hopefully this airline product will survive the merger into Tata/SIA Air India – it offers a much better business class service than we experienced more recently with Air India – the seats were better and newer and complete – the AI offer was very shabby in comparison to Vistara – thank you",Domestic,5.0,October 2024,1 November 2024,5.0,5.0,N/A,5.0,4.0,5.0,5.0,N/A
Laguage charged.,R Manoj Kumar,Chandigarh - Mumbai,"Vistara food and aeroplane interior is good. seats are good and service is also good, maintains time schedule.Faced issue with luggauge checkin at chandigarh airport. Small amount of additional laguage is charged of by vistara.Normaly other airlines waive off if weight is within 5% of allowed limit.",Domestic,4.0,September 2024,31 October 2024,3.0,4.0,2.0,1.0,4.0,4.0,1.0,4.0
